chr	start	end	Distance.to.TSS	Gene.Name	strand	6OHDA_Tag	Sham_Tag	6OHDA_NDST3_Tag	Fold.Sham	Fold.6OHDA_NDST3
chr1	33947783	33947883	527	Dst	+	11.25	12.52	6.65	-1.11	-1.7
chr1	34049923	34050023	-703	Dst	+	5.00	5.90	8.50	-1.18	1.7
chr1	34155711	34155825	-672	Mir6896	+	8.25	2.91	6.19	2.88	-1.34
chr1	34473029	34473133	-801	Mir5103	+	9.00	7.40	8.50	1.22	-1.06
chr1	36106491	36106591	-940	Hs6st1	+	9.25	4.28	6.68	2.15	-1.39
chr1	36107218	36107318	-213	Hs6st1	+	9.25	1.46	4.63	6.44	-2
chr1	37997557	37997679	-778	Lyg1	+	69.25	53.96	68.63	1.28	-1.01
chr1	40362967	40363067	-732	Il1rl2	+	11.50	7.40	6.00	1.56	-1.92
chr1	40618714	40618814	-623	Slc9a4	+	2.00	4.40	3.50	-2.21	1.75
chr1	40619197	40619297	-140	Slc9a4	+	44.00	40.84	42.89	1.08	-1.03
chr1	40619408	40619508	71	Slc9a4	+	19.75	19.94	17.67	-1.01	-1.12
chr1	40844672	40844835	-8	Tmem182	+	75.75	82.33	67.62	-1.09	-1.12
chr1	43136976	43137076	762	Tgfbrap1	+	6.00	8.40	3.50	-1.39	-1.72
chr1	43484474	43484574	-387	Nck2	+	6.50	6.90	7.00	-1.06	1.07
chr1	44119443	44119543	-587	Ccdc168	+	114.00	117.40	121.53	-1.03	1.07
chr1	44186460	44186567	-391	Ercc5	+	25.50	28.44	20.40	-1.12	-1.25
chr1	44589970	44590070	-811	Gulp1	+	18.00	15.20	8.50	1.18	-2.12
chr1	45833305	45833405	-971	Wdr75	+	7.25	11.41	10.36	-1.57	1.43
chr1	46965459	46965721	-654	Slc39a10	+	17.00	26.71	17.00	-1.57	-1
chr1	51327356	51327456	-879	Cavin2	+	16.50	22.10	12.00	-1.34	-1.38
chr1	51636476	51636576	-649	Gm17767	+	27.50	15.84	12.16	1.73	-2.27
chr1	51636584	51636768	-799	Gm17767	+	32.25	18.56	18.64	1.74	-1.73
chr1	52158684	52158784	-47	Stat1	+	30.00	25.18	33.97	1.19	1.13
chr1	52669211	52669311	-603	Nemp2	+	38.00	36.93	49.19	1.03	1.29
chr1	52669483	52669679	-283	Nemp2	+	13.25	10.11	15.80	1.31	1.19
chr1	52986994	52987150	67	1700019D03Rik	+	29.75	27.27	23.19	1.09	-1.29
chr1	53011274	53011374	-119	1700019D03Rik	+	20.50	17.20	17.00	1.19	-1.21
chr1	53011383	53011530	-251	1700019D03Rik	+	21.25	20.46	17.20	1.04	-1.24
chr1	53032706	53032856	-965	1700019D03Rik	+	55.50	66.90	49.40	-1.21	-1.12
chr1	53352283	53352440	-422	Osgepl1	+	104.25	113.20	104.56	-1.09	1
chr1	53824415	53824515	-91	Stk17b	+	25.00	21.18	27.04	1.18	1.08
chr1	53887944	53888198	-512	Mir7681	+	22.00	25.10	21.50	-1.14	-1.03
chr1	55265468	55265573	-256	Gm10561	+	16.50	15.20	12.50	1.08	-1.32
chr1	57417228	57417328	499	1700066M21Rik	+	10.25	5.76	10.76	1.78	1.05
chr1	57445875	57445987	-98	Tyw5	+	18.75	18.46	22.92	1.02	1.22
chr1	57446259	57446359	-476	Tyw5	+	1.75	2.63	7.00	-1.48	3.99
chr1	57813278	57813378	-692	Spats2l	+	7.00	4.40	11.00	1.58	1.57
chr1	58463574	58463674	-377	Clk1	+	10.00	10.76	11.05	-1.08	1.1
chr1	58463904	58464004	-707	Clk1	+	9.00	7.01	11.12	1.29	1.23
chr1	59803176	59803276	-212	Bmpr2	+	17.00	6.40	5.50	2.66	-3.1
chr1	62175449	62175549	-231	Pard3bos2	+	4.50	8.82	9.00	-1.97	2
chr1	63769860	63769960	126	Fastkd2	+	0.50	3.90	4.50	-7.87	8.98
chr1	64081987	64082087	-377	Mir6899	+	8.00	17.20	21.50	-2.15	2.68
chr1	65112747	65112847	-106	Crygc	+	31.25	24.40	24.19	1.28	-1.29
chr1	65162284	65162384	39	D630023F18Rik	+	6.00	13.80	4.00	-2.3	-1.5
chr1	69865961	69866086	-106	Spag16	+	15.25	19.38	16.78	-1.27	1.1
chr1	69866130	69866230	51	Spag16	+	18.00	16.74	11.31	1.07	-1.59
chr1	71454923	71455023	-904	Abca12	+	12.50	14.80	20.50	-1.18	1.64
chr1	72346124	72346284	-376	Xrcc5	+	28.75	15.56	20.68	1.84	-1.39
chr1	72621968	72622068	-392	Smarcal1	+	5.00	2.00	9.50	2.54	1.9
chr1	72739653	72739753	20	Ankar	+	16.00	37.90	19.50	-2.37	1.22
chr1	73055324	73055424	179	Teshl	+	17.00	12.80	20.00	1.33	1.17
chr1	74788057	74788174	-1	Prkag3	+	27.25	13.92	41.03	1.96	1.51
chr1	74893337	74893505	-767	Cdk5r2	+	25.25	17.03	21.72	1.48	-1.16
chr1	75168858	75168992	121	Ankzf1	+	169.75	125.01	215.22	1.36	1.27
chr1	75168998	75169098	244	Ankzf1	+	99.50	79.99	132.80	1.24	1.33
chr1	77473350	77473535	-37	Mir6352	+	15.00	11.30	11.50	1.33	-1.31
chr1	80736331	80736431	-111	Dock10	+	10.50	7.40	7.50	1.42	-1.4
chr1	80736452	80736568	-240	Dock10	+	9.75	11.89	11.92	-1.22	1.22
chr1	82316477	82316614	-225	Rhbdd1	+	429.00	468.33	506.32	-1.09	1.18
chr1	82316638	82316738	-82	Rhbdd1	+	316.00	325.45	347.90	-1.03	1.1
chr1	82746369	82746469	-237	Tm4sf20	+	11.25	19.76	13.30	-1.75	1.18
chr1	82746504	82746604	-372	Tm4sf20	+	13.75	40.56	10.19	-2.95	-1.35
chr1	82801605	82801705	-810	Gm17764	+	19.25	18.00	9.36	1.07	-2.06
chr1	82801779	82801879	-984	Gm17764	+	11.00	15.50	12.57	-1.41	1.14
chr1	83037922	83038082	-649	Krtap28-13	+	56.00	70.90	57.95	-1.27	1.03
chr1	85678931	85679130	-639	Mir8096	+	22.75	17.51	20.73	1.3	-1.1
chr1	85720412	85720536	-688	Cab39	+	26.25	25.36	32.71	1.04	1.25
chr1	85720566	85720666	-546	Cab39	+	14.75	13.61	24.23	1.09	1.64
chr1	86511154	86511254	561	Cops7b	+	10.50	4.90	14.00	2.13	1.33
chr1	86598721	86598874	-502	Nppc	+	32.25	23.91	24.69	1.35	-1.31
chr1	86599033	86599133	-788	Nppc	+	6.25	3.27	6.77	1.89	1.08
chr1	87521244	87521344	-978	Neu2	+	22.50	16.83	23.52	1.34	1.04
chr1	87521350	87521491	-852	Neu2	+	11.50	8.40	12.00	1.38	1.04
chr1	87936767	87936867	-544	Usp40	+	16.75	8.77	20.30	1.92	1.21
chr1	87936906	87937006	-683	Usp40	+	11.25	5.77	13.30	1.95	1.18
chr1	87982562	87982662	-521	Ugt1a10	+	6.50	10.96	9.75	-1.69	1.5
chr1	88205609	88205717	-362	Hjurp	+	120.25	97.29	167.75	1.24	1.39
chr1	88205791	88205891	-540	Hjurp	+	108.00	98.93	160.43	1.09	1.49
chr1	88478439	88478539	-750	Gm19589	+	11.00	9.85	19.38	1.11	1.76
chr1	89381878	89381978	-605	Agap1	+	3.00	4.40	6.50	-1.48	2.16
chr1	92834142	92834262	-509	Dusp28	+	56.50	32.50	46.40	1.74	-1.22
chr1	92861235	92861341	-842	Capn10	+	9.50	6.90	14.00	1.38	1.47
chr1	92861577	92861677	-503	Capn10	+	7.50	14.80	20.50	-1.97	2.73
chr1	92902924	92903081	-67	Gpr35	+	31.50	31.00	35.40	1.02	1.12
chr1	93010928	93011028	-776	Kif1a	+	9.50	10.80	11.50	-1.14	1.21
chr1	93088471	93088627	43	Mab21l4	+	12.50	17.50	10.42	-1.4	-1.2
chr1	93095484	93095584	-611	Crocc2	+	12.00	5.40	5.50	2.22	-2.19
chr1	93095875	93095975	-220	Crocc2	+	8.50	5.10	13.81	1.66	1.62
chr1	93096170	93096270	75	Crocc2	+	9.00	10.30	6.00	-1.15	-1.5
chr1	93731612	93731712	-25	Ing5	+	9.00	12.30	10.50	-1.37	1.16
chr1	95950392	95950492	-959	1700063A18Rik	+	1.50	9.80	6.00	-6.56	3.99
chr1	97590062	97590162	-369	Macir	+	6.00	15.20	4.50	-2.54	-1.34
chr1	97976214	97976347	-762	B230216N24Rik	+	36.00	47.54	44.01	-1.32	1.22
chr1	98024044	98024144	-723	Pam	+	18.50	23.10	16.00	-1.25	-1.16
chr1	98059016	98059116	-126	1810006J02Rik	+	22.75	29.67	18.71	-1.3	-1.22
chr1	105592022	105592122	486	Relch	+	7.00	3.40	2.00	2.03	-3.51
chr1	106688039	106688139	-617	Kdsr	+	28.25	22.99	12.84	1.23	-2.2
chr1	106865999	106866120	-628	Serpinb12	+	18.00	10.30	13.50	1.74	-1.34
chr1	106866517	106866617	-120	Serpinb12	+	5.75	7.09	5.75	-1.23	-1
chr1	110905880	110905980	-607	Cdh19	+	4.75	13.59	5.28	-2.85	1.11
chr1	118981936	118982102	-670	Gli2	+	11.25	15.36	8.69	-1.37	-1.3
chr1	119577559	119577659	-879	Epb41l5	+	6.50	5.90	15.50	1.1	2.38
chr1	119925631	119925731	-719	Cfap221	+	12.50	10.87	7.29	1.15	-1.72
chr1	119925852	119926012	-970	Cfap221	+	22.75	27.70	18.20	-1.22	-1.25
chr1	120186878	120187110	-386	Steap3	+	25.50	25.10	20.50	1.02	-1.25
chr1	121014116	121014334	-909	Celrr	+	48.50	19.99	31.22	2.43	-1.55
chr1	125604165	125604328	-487	Gpr39	+	19.00	22.99	24.65	-1.21	1.29
chr1	125604508	125604608	-175	Gpr39	+	10.50	19.70	9.00	-1.87	-1.17
chr1	125839895	125839995	6	Lypd1	+	28.25	26.79	23.11	1.05	-1.22
chr1	125840081	125840181	-180	Lypd1	+	40.50	38.43	31.79	1.06	-1.27
chr1	125840791	125840891	-176	Lypd1	+	5.50	3.90	3.50	1.4	-1.57
chr1	125841554	125841654	-939	Lypd1	+	9.00	11.65	20.65	-1.29	2.29
chr1	126420949	126421049	-335	Nckap5	+	2.50	5.90	5.50	-2.36	2.2
chr1	127131948	127132117	-691	Mgat5	+	11.75	35.15	30.04	-2.99	2.56
chr1	127660961	127661061	-298	Gm35993	+	21.00	15.33	25.10	1.37	1.19
chr1	127661336	127661452	-681	Gm35993	+	82.75	63.33	80.13	1.31	-1.03
chr1	130350039	130350155	-464	Cd55os	+	7.50	14.80	12.50	-1.97	1.66
chr1	130350326	130350426	-185	Cd55os	+	51.25	46.08	70.11	1.11	1.37
chr1	130644318	130644418	-583	Pfkfb2	+	6.50	18.20	16.00	-2.8	2.46
chr1	130947135	130947235	-397	Il10	+	18.75	11.15	9.12	1.68	-2.06
chr1	131173232	131173332	-367	Rassf5	+	7.50	15.20	9.00	-2.03	1.2
chr1	131173690	131173790	-825	Rassf5	+	16.50	14.80	16.50	1.12	-1
chr1	131207694	131207836	-464	Ikbke	+	26.75	12.94	23.66	2.07	-1.13
chr1	131455303	131455403	-254	Srgap2	+	3.75	4.13	12.86	-1.11	3.42
chr1	131525982	131526082	-820	Avpr1b	+	19.25	9.91	20.81	1.94	1.08
chr1	131526155	131526255	-647	Avpr1b	+	17.25	9.17	13.70	1.87	-1.26
chr1	131935601	131935701	-189	Elk4	+	8.00	12.80	5.50	-1.6	-1.46
chr1	132067494	132067715	-181	Cdk18	+	29.00	29.97	45.99	-1.03	1.59
chr1	132125794	132125945	43	Mir135b	+	87.75	63.50	121.02	1.38	1.38
chr1	132319471	132319571	-397	Tmcc2	+	12.75	9.61	12.75	1.32	-1
chr1	132958326	132958426	-51	Mdm4	+	0.50	1.50	12.00	-2.95	23.95
chr1	133237002	133237130	-495	Golt1a	+	6.00	5.45	8.73	1.1	1.45
chr1	134120426	134120526	-710	Mybph	+	22.25	22.35	31.98	-1.01	1.44
chr1	134120527	134120627	-609	Mybph	+	6.25	11.83	11.46	-1.89	1.83
chr1	134332561	134332672	-903	Cyb5r1	+	5.50	0.50	6.50	11.18	1.18
chr1	134332992	134333092	-477	Cyb5r1	+	37.50	25.42	33.80	1.48	-1.11
chr1	134382247	134382347	-972	Klhl12	+	9.00	13.30	11.50	-1.48	1.28
chr1	134636669	134636779	-314	Syt2	+	11.75	15.37	13.79	-1.31	1.17
chr1	134636936	134637036	-52	Syt2	+	20.25	21.83	16.71	-1.08	-1.21
chr1	135513354	135513454	-311	Nav1	+	13.50	5.40	15.50	2.49	1.15
chr1	135513521	135513721	-528	Nav1	+	41.00	32.50	40.90	1.26	-1
chr1	135524611	135524711	-853	Gm4793	+	17.50	16.72	17.50	1.05	-1
chr1	135764043	135764143	21	Tnnt2	+	6.00	5.40	9.00	1.11	1.5
chr1	135847330	135847587	-513	Pkp1	+	44.50	48.70	60.40	-1.09	1.36
chr1	135945288	135945495	-348	Tmem9	+	7.00	5.40	8.00	1.29	1.14
chr1	135978139	135978239	-353	Ascl5	+	13.50	14.80	18.50	-1.09	1.37
chr1	136273752	136273852	40	Camsap2	+	8.50	9.26	9.03	-1.09	1.06
chr1	136342586	136342686	-373	Ddx59	+	5.00	10.80	3.50	-2.16	-1.43
chr1	138547939	138548039	-494	Nek7	+	14.00	5.90	7.50	2.37	-1.87
chr1	139487986	139488133	-99	Cfhr1	+	19.75	19.45	31.30	1.02	1.59
chr1	140173306	140173406	-100	Kcnt2	+	11.25	17.32	10.74	-1.54	-1.05
chr1	140173481	140173581	75	Kcnt2	+	16.00	10.96	6.71	1.46	-2.39
chr1	143273257	143273357	-984	Gm35244	+	6.00	8.40	5.50	-1.39	-1.09
chr1	143653696	143653796	730	Uchl5	+	7.00	13.80	6.00	-1.97	-1.17
chr1	144125123	144125223	-331	Rgs1	+	5.00	9.80	4.50	-1.97	-1.11
chr1	144651310	144651410	-195	Rgs18	+	6.25	10.87	3.13	-1.74	-2
chr1	151079064	151079245	-718	3110040M04Rik	+	78.75	87.72	75.14	-1.11	-1.05
chr1	152641383	152641483	623	Rgl1	+	3.75	6.47	5.36	-1.72	1.43
chr1	152642222	152642322	-21	Arpc5	+	21.00	19.24	20.49	1.09	-1.03
chr1	152642338	152642438	95	Arpc5	+	19.75	17.48	18.23	1.13	-1.09
chr1	152778439	152778539	-92	Smg7	+	8.50	8.40	8.00	1.02	-1.06
chr1	152778960	152779099	-632	Smg7	+	29.25	18.54	13.62	1.58	-2.15
chr1	153063050	153063239	-951	Lamc2	+	26.25	16.54	28.17	1.58	1.07
chr1	153425417	153425517	-7	Npl	+	34.50	25.60	26.90	1.35	-1.28
chr1	153540028	153540177	-918	Rgs8	+	15.00	17.70	17.50	-1.18	1.16
chr1	153749334	153749434	-707	Teddm1b	+	62.25	61.76	61.64	1.01	-1.01
chr1	153749443	153749583	-578	Teddm1b	+	68.00	57.87	61.67	1.17	-1.1
chr1	154076882	154076982	-1	Zfp648	+	16.50	8.40	15.00	1.97	-1.1
chr1	155293623	155293775	-509	Xpr1	+	34.25	35.14	39.19	-1.03	1.14
chr1	157339350	157339538	-151	Gm15486	+	18.00	18.70	11.50	-1.04	-1.57
chr1	158189521	158189621	-303	Astn1	+	5.00	5.40	10.00	-1.08	2
chr1	160179931	160180031	-840	Rabgap1l	+	15.00	12.80	14.50	1.17	-1.04
chr1	160863074	160863220	411	Gas5	+	37.50	35.43	33.85	1.06	-1.11
chr1	161704718	161704883	-549	Suco	+	22.75	20.48	12.64	1.11	-1.8
chr1	162044555	162044655	-587	Dnm3os	+	10.00	10.80	8.50	-1.08	-1.18
chr1	162305647	162305816	-128	Dnm3	+	22.25	21.38	18.11	1.04	-1.23
chr1	162376690	162376790	-826	Mettl13	+	5.00	5.40	6.50	-1.08	1.3
chr1	163141517	163141617	-348	Prrx1	+	10.25	15.81	7.69	-1.55	-1.34
chr1	163607397	163607538	315	Kifap3	+	17.25	15.97	8.12	1.08	-2.13
chr1	163608053	163608153	951	Kifap3	+	8.50	6.90	9.00	1.23	1.06
chr1	163821657	163821757	658	Firrm	+	11.00	15.70	10.50	-1.43	-1.05
chr1	163822113	163822213	202	Firrm	+	7.00	5.51	4.85	1.27	-1.45
chr1	163823100	163823200	692	Mettl18	+	9.25	11.49	14.39	-1.24	1.55
chr1	163874795	163874928	-942	Sele	+	6.75	5.69	10.38	1.19	1.54
chr1	164787782	164787904	-613	1700029M03Rik	+	57.25	90.45	72.24	-1.58	1.26
chr1	164788026	164788126	-380	1700029M03Rik	+	58.50	92.50	80.30	-1.58	1.37
chr1	164988388	164988502	-103	Tbx19	+	18.00	31.00	17.00	-1.72	-1.06
chr1	165288006	165288106	-24	Dcaf6	+	3.50	8.40	4.00	-2.39	1.14
chr1	165780558	165780658	32	Pou2f1	+	26.50	29.00	23.50	-1.1	-1.13
chr1	166283402	166283502	-395	Gm33354	+	11.00	10.81	11.52	1.02	1.05
chr1	170042932	170043032	-6	Uhmk1	+	7.50	11.80	9.00	-1.57	1.2
chr1	170059644	170059744	-746	Sh2d1b2	+	10.50	18.70	7.50	-1.78	-1.4
chr1	170679035	170679135	-535	Gm29733	+	18.00	20.70	11.50	-1.15	-1.57
chr1	170679298	170679398	-798	Gm29733	+	5.50	9.30	6.00	-1.7	1.09
chr1	170845852	170845952	-593	Fcgr4	+	11.50	9.80	11.00	1.17	-1.05
chr1	171122981	171123081	-456	Ufc1	+	12.00	6.40	18.00	1.88	1.5
chr1	171216511	171216611	33	Arhgap30	+	8.50	6.90	18.00	1.23	2.11
chr1	171238563	171238695	-252	Usf1	+	31.50	24.60	38.40	1.28	1.22
chr1	171470317	171470501	-941	Mir7683	+	48.75	45.01	50.68	1.08	1.04
chr1	172168168	172168268	-559	Kcnj10	+	8.25	9.51	11.86	-1.16	1.43
chr1	172168314	172168414	-413	Kcnj10	+	7.00	9.80	20.00	-1.41	2.85
chr1	172348029	172348129	-618	Cfap45	+	8.00	11.80	17.50	-1.48	2.18
chr1	172387234	172387359	-177	Vsig8	+	11.50	18.20	12.00	-1.58	1.04
chr1	172387467	172387567	44	Vsig8	+	21.00	17.78	4.61	1.18	-4.56
chr1	172525264	172525435	-274	Crp	+	45.00	35.40	57.40	1.27	1.28
chr1	173318397	173318497	56	Ifi206	+	3.50	8.40	2.50	-2.39	-1.4
chr1	173978902	173979002	-95	Or6k8-ps1	+	5.75	10.35	2.09	-1.8	-2.76
chr1	176355401	176355596	-663	Gm36536	+	125.75	104.18	120.52	1.21	-1.04
chr1	180021878	180022030	-904	Coq8a	+	40.75	33.20	49.20	1.23	1.21
chr1	180023842	180023942	-307	Coq8a	+	29.25	17.26	39.92	1.69	1.37
chr1	180023950	180024058	-419	Coq8a	+	20.00	13.95	32.21	1.44	1.61
chr1	180641096	180641263	-9	H3f3a	+	74.00	58.11	85.88	1.27	1.16
chr1	180720032	180720132	-591	Lefty2	+	15.75	3.84	8.64	4.07	-1.83
chr1	181039649	181039749	-156	Wdr26	+	7.00	5.90	16.50	1.19	2.35
chr1	184615088	184615188	95	C130074G19Rik	+	14.75	5.80	12.72	2.54	-1.16
chr1	184731929	184732115	129	Mark1	+	24.75	26.33	24.75	-1.06	-1
chr1	184732366	184732466	-265	Mark1	+	15.50	18.12	18.08	-1.17	1.16
chr1	184935512	184935612	-803	Rab3gap2	+	14.75	13.08	15.26	1.13	1.03
chr1	184935810	184935948	-486	Rab3gap2	+	13.00	10.88	18.72	1.19	1.44
chr1	184974863	184974973	-205	Snora36b	+	15.75	14.96	11.69	1.05	-1.35
chr1	184975074	184975174	1	Snora36b	+	12.50	14.80	18.00	-1.18	1.44
chr1	185173924	185174024	42	9630028B13Rik	+	10.25	7.22	12.30	1.42	1.2
chr1	186482263	186482363	-758	Rrp15	+	16.25	21.77	8.63	-1.34	-1.89
chr1	186482479	186482579	-974	Rrp15	+	10.00	13.80	10.00	-1.38	-1
chr1	189902567	189902667	124	Prox1os	+	14.00	13.30	19.00	1.05	1.35
chr1	190660884	190660984	-85	Angel2	+	5.25	5.63	6.30	-1.07	1.2
chr1	190768456	190768556	400	Spata45	+	23.00	32.30	43.85	-1.4	1.91
chr1	190768741	190768841	-225	Spata45	+	10.00	14.80	9.50	-1.48	-1.05
chr1	190768864	190768964	-102	Spata45	+	14.50	10.30	8.50	1.4	-1.71
chr1	190956212	190956312	-389	D730003I15Rik	+	7.00	7.90	16.50	-1.12	2.35
chr1	192454028	192454128	-551	Hhat	+	5.25	11.26	11.03	-2.15	2.1
chr1	192834656	192834799	-693	Irf6	+	97.00	76.31	103.33	1.27	1.07
chr1	192835011	192835111	-359	Irf6	+	74.75	54.55	93.24	1.37	1.25
chr1	192855037	192855168	-675	A130010J15Rik	+	65.00	35.85	63.88	1.81	-1.02
chr1	194301478	194301578	-609	Plxna2	+	11.00	21.62	5.76	-1.97	-1.91
chr1	194621006	194621106	-73	Cd34	+	18.00	14.49	16.91	1.24	-1.07
chr10	4431810	4431910	-655	Ccdc170	+	9.50	11.30	13.00	-1.19	1.37
chr10	4432078	4432178	-387	Ccdc170	+	62.50	55.27	70.59	1.13	1.13
chr10	4432183	4432283	-282	Ccdc170	+	116.75	97.77	121.58	1.19	1.04
chr10	7600732	7600892	-952	Katna1	+	66.25	77.41	77.69	-1.17	1.17
chr10	7707755	7707855	-429	Zc3h12d	+	4.75	2.85	5.81	1.69	1.22
chr10	7829556	7829656	-777	Tab2	+	1.00	3.90	0.50	-3.94	-2
chr10	8394669	8394769	-130	Ust	+	8.00	11.30	6.00	-1.41	-1.34
chr10	8761659	8761853	58	Sash1	+	10.25	16.79	10.25	-1.64	-1
chr10	8761878	8761978	-114	Sash1	+	6.25	8.08	6.77	-1.29	1.08
chr10	10109996	10110149	550	Gm31904	+	45.00	42.80	34.40	1.05	-1.31
chr10	12737391	12737542	13	Utrn	+	15.50	12.88	14.98	1.2	-1.04
chr10	13376405	13376505	-317	Fuca2	+	4.75	9.79	7.92	-2.07	1.66
chr10	13376767	13376867	45	Fuca2	+	7.75	14.34	7.75	-1.84	-1
chr10	13427922	13428022	-679	Adat2	+	4.50	13.80	6.00	-3.06	1.33
chr10	13429590	13429708	-763	Pex3	+	17.50	21.00	13.38	-1.2	-1.31
chr10	13746811	13746995	-121	Gm32172	+	6.50	16.20	15.00	-2.5	2.3
chr10	17931084	17931234	-529	Reps1	+	19.00	17.25	13.86	1.1	-1.37
chr10	17931275	17931375	-363	Reps1	+	21.00	17.78	17.41	1.18	-1.21
chr10	20046149	20046249	-569	Map7	+	11.25	18.29	11.76	-1.63	1.04
chr10	20046357	20046457	-361	Map7	+	17.75	21.30	22.82	-1.2	1.28
chr10	20173762	20173862	-378	Mir6413	+	16.00	9.22	14.93	1.73	-1.07
chr10	20174303	20174403	-919	Mir6413	+	22.50	18.29	20.97	1.23	-1.08
chr10	20187297	20187397	-868	Bclaf1	+	13.75	7.27	14.26	1.9	1.04
chr10	20601497	20601597	-723	Pde7b	+	2.25	3.51	2.25	-1.57	-1
chr10	20915658	20915830	-975	Ahi1	+	32.00	29.54	43.07	1.08	1.35
chr10	21062037	21062137	-756	Gm33619	+	1.75	10.33	4.67	-5.9	2.66
chr10	21868765	21868931	726	Sgk1	+	39.00	21.82	32.31	1.78	-1.21
chr10	22148680	22148780	-643	H60b	+	21.75	7.32	29.74	2.98	1.37
chr10	22148925	22149025	-398	H60b	+	17.50	11.80	26.00	1.48	1.48
chr10	23836287	23836450	-24	Taar4	+	14.25	21.72	7.13	-1.53	-2
chr10	23951722	23951822	-626	Taar8a	+	10.75	9.16	4.84	1.17	-2.23
chr10	23951881	23951981	-467	Taar8a	+	15.50	16.66	9.30	-1.08	-1.67
chr10	23968932	23969032	-790	Taar8b	+	9.00	3.40	9.50	2.61	1.05
chr10	24712558	24712689	-530	Enpp3	+	43.75	35.29	33.47	1.24	-1.31
chr10	24712713	24712813	-670	Enpp3	+	30.75	21.72	16.68	1.41	-1.85
chr10	25175741	25175841	-676	Akap7	+	4.50	14.30	4.50	-3.17	-1
chr10	25411835	25411935	285	Smlr1	+	13.00	6.16	8.32	2.11	-1.57
chr10	25412269	25412426	63	Gm29571	+	20.00	15.80	10.77	1.26	-1.86
chr10	25955393	25955493	-493	Tmem200a	+	6.75	11.86	2.60	-1.76	-2.6
chr10	27264956	27265104	-832	4930579H20Rik	+	28.00	20.70	19.00	1.36	-1.48
chr10	29019618	29019718	-324	Mtcl3	+	11.50	10.30	13.50	1.11	1.17
chr10	29019881	29019981	-61	Mtcl3	+	11.50	16.20	6.00	-1.41	-1.92
chr10	29188765	29188865	-347	Echdc1	+	5.75	6.13	9.41	-1.07	1.63
chr10	29234573	29234673	-914	Rnf146	+	15.00	18.20	15.00	-1.21	-1
chr10	29412276	29412376	-463	Rspo3	+	3.25	12.35	2.71	-3.79	-1.2
chr10	30679991	30680091	-719	Ncoa7	+	14.50	14.80	16.50	-1.02	1.14
chr10	30680181	30680281	-909	Ncoa7	+	6.75	11.86	9.87	-1.76	1.46
chr10	30718694	30718845	10	Hey2	+	11.75	12.53	6.64	-1.07	-1.77
chr10	30719262	30719362	-533	Hey2	+	25.75	18.52	29.69	1.39	1.15
chr10	33920964	33921064	-705	Calhm4	+	7.00	9.30	6.50	-1.34	-1.08
chr10	34003831	34003931	87	Calhm6	+	4.00	3.90	3.50	1.02	-1.15
